"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
22,World Psychiatry,WORLD PSYCHIATRY,1723-8617,"5,426",34.024,31.286,32.108,7.810,21,4.5,6.2,0.014090,10.466,85.71,99.653,1.67697
22,World Psychiatry,WORLD PSYCHIATRY,1723-8617,"5,426",34.024,31.286,32.108,7.810,21,4.5,6.2,0.014090,10.466,85.71,99.653,1.67697
24,Nature Nanotechnology,NAT NANOTECHNOL,1748-3387,"63,245",33.407,33.059,43.341,7.434,159,5.8,5.6,0.154930,16.051,96.23,98.605,18.43101
25,Energy & Environmental Science,ENERG ENVIRON SCI,1754-5692,"81,176",33.250,32.544,32.826,5.537,296,4.7,4.5,0.160140,7.518,90.88,99.132,19.05040
26,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,1471-003X,"43,107",33.162,32.964,39.845,5.520,50,9.5,6.6,0.068470,17.880,4.00,99.813,8.14545
27,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,0066-4146,"11,821",33.069,32.862,43.099,3.688,16,10.1,7.5,0.019290,20.581,0.00,99.275,2.29543
28,Nature Reviews Disease Primers,NAT REV DIS PRIMERS,2056-676X,"4,339",32.274,32.147,31.366,5.233,43,2.3,6.2,0.019730,11.410,100.00,97.813,2.34801
29,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,1087-0156,"60,971",31.864,31.204,45.117,9.410,105,7.4,4.9,0.158130,22.177,99.05,99.074,18.81203
30,Nature Photonics,NAT PHOTONICS,1749-4885,"43,932",31.583,31.170,38.301,6.583,103,5.6,5.6,0.116040,14.359,93.20,99.230,13.80453
31,NATURE MEDICINE,NAT MED,1078-8956,"79,243",30.641,30.278,34.848,7.847,190,7.9,5.4,0.162940,15.679,97.37,99.278,19.38370
32,Nature Reviews Chemistry,NAT REV CHEM,2397-3358,"1,531",30.628,30.349,30.628,4.977,43,1.4,6.0,0.006720,11.835,0.00,97.965,0.79942
33,LANCET NEUROLOGY,LANCET NEUROL,1474-4422,"30,748",28.755,28.196,30.542,7.235,81,6.7,4.6,0.069420,11.977,66.67,99.749,8.25937
34,NATURE METHODS,NAT METHODS,1548-7091,"64,324",28.467,27.877,34.975,4.170,141,6.3,5.0,0.205050,20.352,97.87,99.367,24.39370
35,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,0732-183X,"154,462",28.349,27.495,22.565,11.500,356,7.9,5.4,0.284300,8.702,86.80,98.043,33.82052
36,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,0370-1573,"28,380",28.295,28.161,23.715,7.133,45,10.2,10.0,0.030540,8.664,0.00,98.148,3.63382
37,Living Reviews in Relativity,LIVING REV RELATIV,2367-3613,"2,819",27.778,27.444,36.250,13.375,8,7.7,10.0,0.005210,14.106,0.00,98.276,0.62046
38,BMJ-British Medical Journal,BMJ-BRIT MED J,1756-1833,"112,901",27.604,25.928,24.546,11.210,167,10.1,4.2,0.152730,10.227,82.63,97.188,18.16956
39,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,1473-3099,"23,088",27.516,26.616,23.363,8.221,140,4.6,4.7,0.073320,9.880,69.29,99.438,8.72256
40,Annual Review of Biochemistry,ANNU REV BIOCHEM,0066-4154,"20,344",26.922,26.766,25.608,3.225,40,10.1,7.9,0.025440,12.195,0.00,99.164,3.02674
41,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,0360-1285,"11,322",26.467,26.000,26.747,6.257,35,9.2,8.4,0.008380,6.414,0.00,98.816,0.99744
42,Cancer Discovery,CANCER DISCOV,2159-8274,"13,715",26.370,25.794,23.800,5.804,92,4.0,4.7,0.064800,11.440,91.30,97.609,7.70978
43,ADVANCES IN PHYSICS,ADV PHYS,0001-8732,"5,903",26.100,26.100,28.000,1.000,3,10.3,8.6,0.004480,13.050,0.00,97.794,0.53300
44,ADVANCED MATERIALS,ADV MATER,0935-9648,"229,186",25.809,24.372,24.794,5.521,"1,505",4.7,4.8,0.409360,5.816,88.84,97.802,48.69813
45,NATURE GENETICS,NAT GENET,1061-4036,"93,920",25.455,24.583,31.077,6.426,188,8.6,5.6,0.221340,16.812,100.00,99.138,26.33096
46,EUROPEAN HEART JOURNAL,EUR HEART J,0195-668X,"58,233",24.889,22.976,20.052,11.622,262,5.5,5.2,0.129390,6.871,85.50,99.632,15.39239
47,Advanced Energy Materials,ADV ENERGY MATER,1614-6832,"50,724",24.884,23.107,21.921,5.502,818,2.7,3.8,0.120600,4.916,89.36,97.105,14.34730
48,Nature Reviews Endocrinology,NAT REV ENDOCRINOL,1759-5029,"8,908",24.646,24.354,21.813,6.174,46,4.5,6.2,0.026300,7.603,8.70,99.655,3.12897
49,Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,2213-8587,"7,961",24.540,23.891,23.013,9.276,76,2.9,5.2,0.038670,9.299,65.79,98.966,4.60125
50,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,0079-6700,"26,152",24.505,24.232,30.739,5.607,61,8.2,7.4,0.022440,6.341,0.00,99.425,2.66962
51,Materials Today,MATER TODAY,1369-7021,"12,566",24.372,24.128,29.990,6.478,69,5.7,5.4,0.018830,6.859,66.67,97.782,2.24097
52,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,0031-9333,"28,672",24.250,24.000,34.947,5.341,44,10.1,9.0,0.026850,11.892,0.00,99.383,3.19445
53,CANCER CELL,CANCER CELL,1535-6108,"36,056",23.916,23.586,26.809,4.949,138,6.7,5.8,0.091030,12.289,92.03,97.680,10.82986
54,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,0079-6425,"14,580",23.725,23.527,33.018,9.759,58,7.1,7.9,0.016820,7.674,0.00,97.440,2.00124
55,Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,1759-5045,"8,506",23.570,23.110,21.184,6.854,48,4.5,5.9,0.025380,6.941,12.50,99.405,3.02004
56,NATURE IMMUNOLOGY,NAT IMMUNOL,1529-2908,"44,298",23.530,23.078,23.906,4.948,116,8.0,5.8,0.094210,10.960,81.03,99.051,11.20774
57,Nature Chemistry,NAT CHEM,1755-4330,"32,858",23.193,22.974,27.347,6.522,157,5.2,7.0,0.091910,10.117,98.73,96.802,10.93404
58,CIRCULATION,CIRCULATION,0009-7322,"166,484",23.054,22.079,20.469,6.939,362,10.1,6.5,0.211150,8.023,96.41,99.064,25.11913
59,Lancet Respiratory Medicine,LANCET RESP MED,2213-2600,"7,600",22.992,22.291,21.580,8.470,66,3.2,4.7,0.038840,9.022,84.85,98.846,4.62043
60,IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,1553-877X,"16,408",22.973,21.572,25.222,3.650,120,3.8,5.0,0.039660,5.788,95.00,99.555,4.71864
61,JAMA Oncology,JAMA ONCOL,2374-2437,"9,488",22.416,21.887,22.069,6.762,168,2.1,4.9,0.048600,9.790,89.88,96.739,5.78250
62,Cell Metabolism,CELL METAB,1550-4131,"34,829",22.415,21.774,22.787,5.562,162,5.5,6.4,0.099550,9.436,84.57,97.972,11.84322
63,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,0927-796X,"7,206",22.250,22.000,34.117,5.000,12,10.0,6.4,0.006250,7.898,0.00,97.029,0.74439
63,Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,1529-1006,"1,437",22.250,22.000,31.556,1.500,4,6.9,9.4,0.003050,12.843,100.00,99.635,0.36313
65,Nature Climate Change,NAT CLIM CHANGE,1758-678X,"23,544",21.722,20.948,25.170,4.116,146,4.2,5.4,0.098100,9.945,95.89,99.463,11.67015
65,Nature Climate Change,NAT CLIM CHANGE,1758-678X,"23,544",21.722,20.948,25.170,4.116,146,4.2,5.4,0.098100,9.945,95.89,99.463,11.67015
67,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,"69,687",21.661,21.512,22.242,3.393,321,6.0,5.6,0.131770,6.609,0.00,96.221,15.67643
68,IMMUNITY,IMMUNITY,1074-7613,"51,051",21.522,20.814,25.778,4.742,159,6.8,5.9,0.126050,11.230,88.05,98.418,14.99491
69,Cell Stem Cell,CELL STEM CELL,1934-5909,"24,628",21.464,20.883,23.247,5.092,119,5.6,5.8,0.087340,12.005,86.55,97.614,10.39108
70,Annual Review of Immunology,ANNU REV IMMUNOL,0732-0582,"17,013",21.429,21.190,33.026,4.581,31,10.0,7.2,0.022200,14.749,0.00,97.785,2.64121
71,Nature Reviews Neurology,NAT REV NEUROL,1759-4758,"9,548",21.155,20.990,23.891,6.396,48,4.7,5.8,0.031050,8.875,10.42,99.246,3.69459
72,NATURE NEUROSCIENCE,NAT NEUROSCI,1097-6256,"63,390",21.126,20.613,21.403,5.165,170,8.2,6.5,0.164630,11.784,91.76,99.438,19.58456
73,INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,0950-6608,"5,262",21.086,21.057,17.921,3.278,18,9.4,8.8,0.004960,4.223,0.00,96.758,0.59038
74,JAMA Internal Medicine,JAMA INTERN MED,2168-6106,"15,215",20.768,20.015,19.276,6.105,124,3.4,5.8,0.095550,9.687,87.90,96.563,11.36772
75,Nature Physics,NAT PHYS,1745-2473,"36,156",20.113,19.739,21.797,6.521,188,6.0,6.7,0.115280,11.338,96.28,96.914,13.71461
76,GASTROENTEROLOGY,GASTROENTEROLOGY,0016-5085,"74,469",19.809,18.955,19.066,4.003,308,9.1,6.0,0.104850,6.673,92.21,98.214,12.47323
77,Annual Review of Psychology,ANNU REV PSYCHOL,0066-4308,"20,230",19.755,19.623,29.353,5.190,21,10.2,7.9,0.022780,12.975,0.00,99.128,2.71074
77,Annual Review of Psychology,ANNU REV PSYCHOL,0066-4308,"20,230",19.755,19.623,29.353,5.190,21,10.2,7.9,0.022780,12.975,0.00,99.128,2.71074
79,Nature Reviews Nephrology,NAT REV NEPHROL,1759-5061,"5,767",19.684,19.126,15.328,4.545,44,4.1,6.3,0.017070,5.110,4.55,99.375,2.03071
80,Science Robotics,SCI ROBOT,2470-9476,898,19.400,17.514,19.429,4.500,48,1.5,5.7,0.002430,5.272,97.92,98.077,0.28985
81,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,0003-4819,"57,057",19.315,18.466,19.676,6.461,128,10.0,4.9,0.095990,9.540,75.00,95.938,11.41923
82,INTENSIVE CARE MEDICINE,INTENS CARE MED,0342-4642,"22,631",18.967,16.692,13.009,3.732,127,7.7,5.0,0.040100,4.519,73.23,95.455,4.77069
83,JOURNAL OF HEPATOLOGY,J HEPATOL,0168-8278,"40,643",18.946,17.740,14.265,5.505,216,5.6,5.6,0.084360,4.505,82.41,97.024,10.03570
84,Annual Review of Plant Biology,ANNU REV PLANT BIOL,1543-5008,"19,024",18.918,18.653,25.776,3.724,29,10.2,7.0,0.016890,9.547,0.00,99.781,2.00959
85,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,0031-6997,"12,653",18.886,18.841,21.607,4.680,25,10.1,9.0,0.011950,6.706,0.00,99.438,1.42204
86,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,0735-1097,"100,986",18.639,17.600,19.068,5.719,377,7.6,5.5,0.193110,7.211,74.80,98.162,22.97237
87,Nature Reviews Rheumatology,NAT REV RHEUMATOL,1759-4790,"7,761",18.545,18.107,15.993,3.313,48,4.6,6.2,0.021640,5.392,6.25,98.387,2.57476
88,Lancet Psychiatry,LANCET PSYCHIAT,2215-0374,"4,887",18.329,17.839,17.638,5.492,63,2.7,6.1,0.022090,6.510,68.25,98.958,2.62837
88,Lancet Psychiatry,LANCET PSYCHIAT,2215-0374,"4,887",18.329,17.839,17.638,5.492,63,2.7,6.1,0.022090,6.510,68.25,98.958,2.62837
90,Chem,CHEM-US,2451-9294,"3,493",18.205,17.589,18.205,4.726,157,1.6,4.9,0.011310,5.676,76.43,95.640,1.34636
91,ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,0001-6322,"20,206",18.174,17.315,14.996,3.532,109,6.9,6.2,0.041640,5.592,85.32,99.050,4.95434
92,GUT,GUT,0017-5749,"43,400",17.943,17.355,16.321,7.294,197,8.4,6.3,0.068110,5.499,99.49,95.833,8.10272
93,Annual Review of Physiology,ANNU REV PHYSIOL,0066-4278,"9,562",17.902,17.843,17.684,5.500,18,10.1,7.7,0.012800,7.293,0.00,98.148,1.52368
94,CELL RESEARCH,CELL RES,1001-0602,"15,131",17.848,17.483,18.448,4.235,68,6.2,6.0,0.038670,7.587,88.24,96.632,4.60059
95,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,0893-8512,"19,194",17.750,17.688,25.599,4.182,33,10.1,8.5,0.021160,9.320,0.00,98.872,2.51817
96,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,"55,828",17.730,17.358,16.887,3.956,225,9.6,6.8,0.068830,5.319,100.00,99.719,8.18810
97,NATURE CELL BIOLOGY,NAT CELL BIOL,1465-7392,"40,615",17.728,17.443,20.551,4.808,120,8.5,6.0,0.082520,10.129,86.67,96.114,9.81762
98,Nature Reviews Cardiology,NAT REV CARDIOL,1759-5002,"6,301",17.420,17.030,15.700,6.960,50,4.0,6.3,0.018800,5.477,4.00,97.426,2.23710
99,EUROPEAN UROLOGY,EUR UROL,0302-2838,"30,782",17.298,16.313,15.451,5.643,168,5.1,4.5,0.070900,5.094,82.14,98.125,8.43476
100,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,0066-4189,"12,706",17.214,17.071,18.333,5.385,26,10.2,10.1,0.011270,7.690,0.00,99.032,1.34092
101,Science Translational Medicine,SCI TRANSL MED,1946-6234,"30,485",17.200,17.096,18.643,3.260,235,4.5,6.8,0.121930,8.223,97.87,97.246,14.50598
102,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,0140-525X,"9,377",17.194,16.944,21.747,3.133,15,10.2,10.1,0.010250,8.922,100.00,98.058,1.21936
102,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,0140-525X,"9,377",17.194,16.944,21.747,3.133,15,10.2,10.1,0.010250,8.922,100.00,98.058,1.21936
104,Nature Biomedical Engineering,NAT BIOMED ENG,2157-846X,"1,540",17.135,16.649,17.149,3.736,72,1.4,5.5,0.006440,6.592,87.50,99.375,0.76626
105,TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,0968-0004,"17,448",16.889,16.806,15.941,2.456,68,10.0,5.3,0.031370,7.008,0.00,98.829,3.73208
106,Annual Review of Materials Research,ANNU REV MATER RES,1531-7331,"8,086",16.816,16.763,18.414,3.154,13,10.0,8.4,0.007830,5.994,0.00,96.416,0.93222
107,REVIEWS OF GEOPHYSICS,REV GEOPHYS,8755-1209,"11,762",16.725,16.529,19.767,4.650,20,10.2,7.8,0.012890,8.417,0.00,99.405,1.53384
108,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,0034-4885,"18,176",16.620,16.427,17.673,5.840,75,8.8,9.3,0.031770,7.162,0.00,95.679,3.77996
109,BLOOD,BLOOD,0006-4971,"161,908",16.601,15.559,13.206,3.465,486,8.6,6.1,0.241110,4.814,83.54,99.315,28.68278
110,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,0962-8924,"14,380",16.588,16.507,15.644,4.338,74,7.1,5.8,0.034100,6.815,0.00,95.078,4.05742
111,Nano Today,NANO TODAY,1748-0132,"7,980",16.582,16.429,19.150,2.706,51,5.6,4.8,0.012950,4.584,25.49,95.803,1.54114
112,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,1073-449X,"63,074",16.494,14.794,15.196,5.825,217,9.6,5.8,0.091110,5.546,94.93,95.022,10.83879
113,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,0033-2909,"50,710",16.405,15.714,23.910,2.825,40,10.4,10.0,0.027090,9.725,67.50,98.114,3.22356
113,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,0033-2909,"50,710",16.405,15.714,23.910,2.825,40,10.4,10.0,0.027090,9.725,67.50,98.114,3.22356
115,ACS Energy Letters,ACS ENERGY LETT,2380-8195,"10,134",16.331,15.136,16.331,3.896,374,1.6,3.3,0.031350,4.472,96.52,96.458,3.72997
116,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,1364-6613,"27,095",16.173,15.734,20.239,3.493,71,9.9,6.7,0.040040,9.161,0.00,98.305,4.76330
116,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,1364-6613,"27,095",16.173,15.734,20.239,3.493,71,9.9,6.7,0.040040,9.161,0.00,98.305,4.76330
118,JAMA Psychiatry,JAMA PSYCHIAT,2168-622X,"10,894",15.916,15.436,17.651,4.107,112,3.5,6.9,0.055520,7.127,90.18,98.264,6.60513
118,JAMA Psychiatry,JAMA PSYCHIAT,2168-622X,"10,894",15.916,15.436,17.651,4.107,112,3.5,6.9,0.055520,7.127,90.18,98.264,6.60513
120,Lancet Global Health,LANCET GLOB HEALTH,2214-109X,"6,109",15.873,15.207,19.828,5.945,91,3.1,4.9,0.034340,9.323,92.31,99.713,4.08590
120,Lancet Global Health,LANCET GLOB HEALTH,2214-109X,"6,109",15.873,15.207,19.828,5.945,91,3.1,4.9,0.034340,9.323,92.31,99.713,4.08590
122,CIRCULATION RESEARCH,CIRC RES,0009-7330,"52,988",15.862,14.982,14.552,4.249,197,9.0,6.5,0.072270,4.631,80.20,97.443,8.59793
123,Advanced Science,ADV SCI,2198-3844,"8,129",15.804,15.307,15.074,2.907,389,2.0,4.5,0.021030,3.456,88.95,94.673,2.50253
124,Cell Host & Microbe,CELL HOST MICROBE,1931-3128,"17,787",15.753,15.418,16.600,3.507,134,4.8,5.7,0.063220,7.458,89.55,98.460,7.52137
125,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,1616-301X,"95,431",15.621,14.808,14.755,3.263,"1,369",4.4,4.7,0.175960,3.398,95.47,94.776,20.93326
126,FUNGAL DIVERSITY,FUNGAL DIVERS,1560-2745,"4,234",15.596,13.298,10.264,5.565,23,6.0,9.3,0.006410,2.518,100.00,98.276,0.76351
127,Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,1947-5454,"2,763",15.588,15.412,21.123,5.500,24,4.5,7.7,0.011190,10.464,0.00,91.912,1.33147
128,Nano Energy,NANO ENERGY,2211-2855,"37,106",15.548,14.513,15.280,3.140,808,2.6,4.0,0.087250,3.046,96.91,94.656,10.37934
129,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,0169-409X,"36,350",15.519,15.198,16.361,3.316,155,8.0,7.1,0.037420,3.759,5.81,99.064,4.45252
130,DIABETES CARE,DIABETES CARE,0149-5992,"71,305",15.270,14.365,11.997,5.821,324,8.6,6.1,0.096200,3.851,96.91,97.586,11.44417
131,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,1092-2172,"11,790",15.255,15.255,18.720,1.647,17,10.2,8.5,0.010610,6.430,0.00,97.368,1.26254
132,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,"36,697",15.236,14.694,18.964,3.028,72,10.2,6.2,0.035920,7.495,0.00,99.087,4.27379
133,Annual Review of Marine Science,ANNU REV MAR SCI,1941-1405,"3,870",15.225,15.000,15.792,5.000,20,6.3,10.0,0.008360,5.979,0.00,98.998,0.99560
134,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,0742-3098,"10,695",15.221,12.531,12.197,3.589,73,6.2,6.1,0.010560,1.966,93.15,97.250,1.25681
135,ENDOCRINE REVIEWS,ENDOCR REV,0163-769X,"13,381",15.167,14.857,19.377,2.632,38,10.2,8.5,0.008900,5.914,0.00,96.207,1.05905
136,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,0935-4956,"1,788",15.143,14.929,14.578,3.429,7,7.2,9.1,0.003730,6.285,14.29,97.826,0.44425
137,HEPATOLOGY,HEPATOLOGY,0270-9139,"65,892",14.971,14.263,12.795,5.233,326,8.2,5.9,0.095200,4.148,92.02,94.643,11.32566
138,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,0149-2195,"26,534",14.874,14.462,11.327,2.953,277,4.5,4.3,0.097940,5.434,100.00,99.194,11.65178
139,SURFACE SCIENCE REPORTS,SURF SCI REP,0167-5729,"4,655",14.824,14.412,14.489,1.000,9,10.3,9.4,0.002470,3.986,0.00,93.025,0.29425
140,MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,0737-4038,"46,915",14.797,14.415,13.944,2.200,245,7.3,8.4,0.092160,5.390,98.78,97.828,10.96429
141,Lancet HIV,LANCET HIV,2352-3018,"2,417",14.753,13.835,14.091,3.839,62,2.4,4.0,0.014260,7.016,82.26,97.733,1.69738
142,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,J AM CHEM SOC,0002-7863,"550,343",14.695,13.712,14.491,3.020,"2,417",8.5,6.6,0.674630,3.962,98.97,93.314,80.25465
143,Nature Microbiology,NAT MICROBIOL,2058-5276,"4,996",14.633,14.337,14.640,4.262,141,1.8,6.7,0.027410,6.920,94.33,96.617,3.26116
144,Living Reviews in Solar Physics,LIVING REV SOL PHYS,2367-3648,"1,071",14.625,14.375,17.417,1.286,7,6.9,10.3,0.002610,8.261,0.00,96.377,0.31143
145,MOLECULAR CELL,MOL CELL,1097-2765,"62,812",14.548,13.995,15.090,3.248,322,7.8,6.7,0.170650,8.231,93.48,96.360,20.30095
146,Nature Geoscience,NAT GEOSCI,1752-0894,"24,174",14.480,14.171,15.781,3.250,140,5.8,7.2,0.074160,7.285,92.86,99.745,8.82313
147,Alzheimers & Dementia,ALZHEIMERS DEMENT,1552-5260,"13,341",14.423,13.724,13.533,3.819,144,4.5,6.7,0.036320,4.473,88.19,98.241,4.32133
148,NEURON,NEURON,0896-6273,"95,348",14.403,13.585,16.319,3.016,365,8.5,7.6,0.218590,8.644,87.67,97.566,26.00447
149,Materials Horizons,MATER HORIZ,2051-6347,"4,587",14.356,14.121,13.674,2.908,119,2.5,5.0,0.013710,3.350,87.39,93.551,1.63118
150,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,0003-4967,"44,754",14.299,13.129,12.692,4.342,225,7.0,6.1,0.082790,4.205,94.22,95.161,9.84926
151,APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,0926-3373,"74,797",14.229,12.614,12.176,4.399,"1,039",3.9,5.3,0.092290,1.918,97.69,97.386,10.97977
152,ANNALS OF ONCOLOGY,ANN ONCOL,0923-7534,"40,751",14.196,13.698,11.791,4.337,273,5.3,4.8,0.103780,4.207,83.52,96.304,12.34594
153,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,0091-6749,"51,978",14.110,12.561,13.316,2.944,534,7.2,6.3,0.076210,3.750,95.69,97.334,9.06682
154,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,1548-5943,"5,555",14.098,14.024,18.496,2.056,18,7.8,6.8,0.011110,7.449,100.00,98.184,1.32221
